Strike;IV;
16.810515;1.531853;
16.857698;1.530783;
16.905013;1.529714;
16.952461;1.528643;
17.000042;1.527572;
17.047756;1.526501;
17.095605;1.525429;
17.143588;1.524356;
17.191705;1.523283;
17.239958;1.522209;
17.288346;1.521134;
17.336869;1.520059;
17.385529;1.518983;
17.434326;1.517907;
17.483260;1.516830;
17.532330;1.515752;
17.581539;1.514674;
17.630886;1.513595;
17.680371;1.512516;
17.729995;1.511436;
17.779758;1.510355;
17.829661;1.509274;
17.879705;1.508192;
17.929888;1.507109;
17.980213;1.506026;
18.030678;1.504942;
18.081286;1.503858;
18.132035;1.502773;
18.182927;1.501687;
18.233961;1.500601;
18.285139;1.499514;
18.336461;1.498427;
18.387926;1.497339;
18.439536;1.496250;
18.491291;1.495161;
18.543191;1.494071;
18.595237;1.492980;
18.647429;1.491889;
18.699768;1.490797;
18.752253;1.489705;
18.804885;1.488612;
18.857666;1.487518;
18.910594;1.486424;
18.963671;1.485329;
19.016897;1.484233;
19.070273;1.483137;
19.123798;1.482040;
19.177473;1.480942;
19.231299;1.479844;
19.285276;1.478746;
19.339405;1.477646;
19.393686;1.476546;
19.448119;1.475446;
19.502704;1.474344;
19.557443;1.473242;
19.612336;1.472140;
19.667382;1.471037;
19.722583;1.469933;
19.777939;1.468828;
19.833451;1.467723;
19.889118;1.466618;
19.944942;1.465511;
20.000922;1.464404;
20.057059;1.463297;
20.113354;1.462188;
20.169807;1.461080;
20.226418;1.459970;
20.283188;1.458860;
20.340118;1.457749;
20.397207;1.456637;
20.454457;1.455525;
20.511867;1.454413;
20.569438;1.453299;
20.627171;1.452185;
20.685066;1.451070;
20.743124;1.449955;
20.801344;1.448839;
20.859728;1.447723;
20.918276;1.446605;
20.976988;1.445487;
21.035864;1.444369;
21.094906;1.443250;
21.154114;1.442130;
21.213488;1.441009;
21.273029;1.439888;
21.332737;1.438766;
21.392612;1.437644;
21.452655;1.436521;
21.512867;1.435397;
21.573248;1.434272;
21.633799;1.433147;
21.694519;1.432022;
21.755410;1.430895;
21.816471;1.429768;
21.877704;1.428641;
21.939109;1.427512;
22.000686;1.426383;
22.062437;1.425254;
22.124360;1.424123;
22.186457;1.422992;
22.248729;1.421861;
22.311175;1.420729;
22.373796;1.419596;
22.436594;1.418462;
22.499567;1.417328;
22.562718;1.416193;
22.626045;1.415057;
22.689550;1.413921;
22.753234;1.412784;
22.817096;1.411647;
22.881138;1.410509;
22.945359;1.409370;
23.009761;1.408230;
23.074343;1.407090;
23.139106;1.405949;
23.204052;1.404808;
23.269179;1.403666;
23.334490;1.402523;
23.399983;1.401380;
23.465661;1.400235;
23.531523;1.399091;
23.597570;1.397945;
23.663802;1.396799;
23.730220;1.395652;
23.796824;1.394505;
23.863616;1.393357;
23.930594;1.392208;
23.997761;1.391059;
24.065117;1.389909;
24.132661;1.388758;
24.200395;1.387606;
24.268319;1.386454;
24.336434;1.385302;
24.404740;1.384148;
24.473237;1.382994;
24.541927;1.381839;
24.610810;1.380684;
24.679886;1.379528;
24.749156;1.378371;
24.818620;1.377214;
24.888279;1.376056;
24.958134;1.374897;
25.028185;1.373738;
25.098432;1.372577;
25.168877;1.371417;
25.239519;1.370255;
25.310360;1.369093;
25.381399;1.367931;
25.452638;1.366767;
25.524077;1.365603;
25.595716;1.364438;
25.667557;1.363273;
25.739599;1.362107;
25.811843;1.360940;
25.884290;1.359773;
25.956940;1.358605;
26.029794;1.357436;
26.102853;1.356267;
26.176117;1.355097;
26.249586;1.353926;
26.323262;1.352755;
26.397144;1.351582;
26.471234;1.350410;
26.545532;1.349236;
26.620038;1.348062;
26.694753;1.346888;
26.769679;1.345712;
26.844814;1.344536;
26.920160;1.343360;
26.995718;1.342182;
27.071488;1.341004;
27.147470;1.339826;
27.223666;1.338646;
27.300076;1.337466;
27.376700;1.336286;
27.453539;1.335104;
27.530594;1.333922;
27.607865;1.332740;
27.685353;1.331556;
27.763058;1.330372;
27.840982;1.329188;
27.919124;1.328002;
27.997485;1.326816;
28.076067;1.325630;
28.154869;1.324442;
28.233892;1.323255;
28.313137;1.322066;
28.392605;1.320877;
28.472295;1.319687;
28.552209;1.318496;
28.632348;1.317305;
28.712711;1.316113;
28.793300;1.314921;
28.874115;1.313727;
28.955157;1.312534;
29.036427;1.311339;
29.117924;1.310144;
29.199650;1.308948;
29.281606;1.307752;
29.363792;1.306555;
29.446208;1.305357;
29.528856;1.304159;
29.611735;1.302960;
29.694848;1.301760;
29.778193;1.300560;
29.861773;1.299359;
29.945587;1.298157;
30.029636;1.296955;
30.113921;1.295752;
30.198443;1.294548;
30.283202;1.293344;
30.368199;1.292139;
30.453435;1.290934;
30.538909;1.289728;
30.624624;1.288521;
30.710579;1.287314;
30.796775;1.286106;
30.883214;1.284897;
30.969895;1.283688;
31.056819;1.282478;
31.143987;1.281268;
31.231400;1.280056;
31.319058;1.278845;
31.406963;1.277632;
31.495114;1.276419;
31.583512;1.275206;
31.672159;1.273991;
31.761054;1.272776;
31.850199;1.271561;
31.939594;1.270345;
32.029240;1.269128;
32.119137;1.267911;
32.209287;1.266693;
32.299690;1.265474;
32.390347;1.264255;
32.481258;1.263035;
32.572424;1.261815;
32.663846;1.260594;
32.755525;1.259372;
32.847461;1.258150;
32.939655;1.256927;
33.032108;1.255704;
33.124820;1.254480;
33.217793;1.253255;
33.311027;1.252030;
33.404522;1.250804;
33.498279;1.249578;
33.592300;1.248351;
33.686585;1.247123;
33.781134;1.245895;
33.875949;1.244666;
33.971030;1.243437;
34.066377;1.242207;
34.161992;1.240977;
34.257876;1.239746;
34.354029;1.238514;
34.450451;1.237282;
34.547145;1.236050;
34.644109;1.234816;
34.741346;1.233582;
34.838856;1.232348;
34.936639;1.231113;
35.034697;1.229878;
35.133030;1.228642;
35.231639;1.227405;
35.330525;1.226168;
35.429689;1.224930;
35.529130;1.223692;
35.628851;1.222453;
35.728852;1.221214;
35.829133;1.219974;
35.929696;1.218734;
36.030541;1.217493;
36.131669;1.216252;
36.233081;1.215010;
36.334778;1.213767;
36.436760;1.212524;
36.539028;1.211281;
36.641584;1.210037;
36.744427;1.208793;
36.847559;1.207548;
36.950980;1.206302;
37.054692;1.205056;
37.158694;1.203810;
37.262989;1.202563;
37.367576;1.201316;
37.472457;1.200068;
37.577632;1.198819;
37.683103;1.197571;
37.788869;1.196321;
37.894933;1.195072;
38.001294;1.193821;
38.107953;1.192571;
38.214912;1.191320;
38.322171;1.190068;
38.429731;1.188816;
38.537593;1.187564;
38.645758;1.186311;
38.754226;1.185058;
38.862999;1.183804;
38.972077;1.182550;
39.081462;1.181296;
39.191153;1.180041;
39.301152;1.178785;
39.411460;1.177530;
39.522078;1.176274;
39.633005;1.175017;
39.744245;1.173760;
39.855796;1.172503;
39.967661;1.171245;
40.079840;1.169987;
40.192333;1.168729;
40.305142;1.167470;
40.418268;1.166211;
40.531711;1.164952;
40.645473;1.163692;
40.759554;1.162432;
40.873955;1.161172;
40.988678;1.159911;
41.103722;1.158650;
41.219089;1.157388;
41.334780;1.156127;
41.450796;1.154865;
41.567137;1.153603;
41.683805;1.152340;
41.800801;1.151077;
41.918125;1.149814;
42.035778;1.148551;
42.153761;1.147287;
42.272075;1.146023;
42.390722;1.144759;
42.509701;1.143495;
42.629015;1.142230;
42.748663;1.140966;
42.868647;1.139701;
42.988968;1.138435;
43.109627;1.137170;
43.230624;1.135904;
43.351961;1.134639;
43.473638;1.133373;
43.595657;1.132107;
43.718019;1.130840;
43.840723;1.129574;
43.963773;1.128307;
44.087167;1.127041;
44.210908;1.125774;
44.334997;1.124507;
44.459433;1.123240;
44.584219;1.121972;
44.709355;1.120705;
44.834842;1.119438;
44.960682;1.118170;
45.086874;1.116903;
45.213421;1.115635;
45.340323;1.114368;
45.467582;1.113100;
45.595197;1.111833;
45.723171;1.110565;
45.851503;1.109297;
45.980196;1.108030;
46.109251;1.106762;
46.238667;1.105494;
46.368447;1.104227;
46.498591;1.102959;
46.629100;1.101692;
46.759975;1.100425;
46.891218;1.099157;
47.022829;1.097890;
47.154810;1.096623;
47.287161;1.095356;
47.419883;1.094089;
47.552978;1.092822;
47.686447;1.091556;
47.820290;1.090289;
47.954509;1.089023;
48.089105;1.087757;
48.224078;1.086491;
48.359430;1.085226;
48.495162;1.083960;
48.631275;1.082695;
48.767770;1.081430;
48.904648;1.080166;
49.041911;1.078901;
49.179558;1.077637;
49.317592;1.076373;
49.456014;1.075110;
49.594824;1.073847;
49.734023;1.072584;
49.873613;1.071322;
50.013595;1.070060;
50.153970;1.068798;
50.294739;1.067537;
50.435903;1.066276;
50.577463;1.065016;
50.719421;1.063756;
50.861777;1.062497;
51.004532;1.061238;
51.147688;1.059980;
51.291246;1.058722;
51.435207;1.057465;
51.579572;1.056208;
51.724342;1.054952;
51.869519;1.053696;
52.015103;1.052441;
52.161095;1.051187;
52.307498;1.049934;
52.454311;1.048681;
52.601536;1.047428;
52.749175;1.046177;
52.897228;1.044926;
53.045696;1.043676;
53.194581;1.042426;
53.343884;1.041178;
53.493607;1.039930;
53.643749;1.038683;
53.794313;1.037437;
53.945299;1.036192;
54.096709;1.034947;
54.248544;1.033704;
54.400805;1.032462;
54.553494;1.031220;
54.706611;1.029979;
54.860158;1.028740;
55.014136;1.027501;
55.168546;1.026264;
55.323390;1.025027;
55.478668;1.023792;
55.634381;1.022558;
55.790532;1.021324;
55.947122;1.020092;
56.104150;1.018862;
56.261620;1.017632;
56.419531;1.016404;
56.577886;1.015176;
56.736685;1.013951;
56.895930;1.012726;
57.055621;1.011503;
57.215761;1.010281;
57.376351;1.009060;
57.537391;1.007841;
57.698883;1.006624;
57.860829;1.005408;
58.023229;1.004193;
58.186084;1.002980;
58.349397;1.001768;
58.513169;1.000558;
58.677399;0.999350;
58.842091;0.998143;
59.007245;0.996938;
59.172863;0.995734;
59.338946;0.994533;
59.505494;0.993333;
59.672510;0.992135;
59.839995;0.990938;
60.007950;0.989744;
60.176377;0.988551;
60.345276;0.987360;
60.514649;0.986172;
60.684497;0.984985;
60.854823;0.983800;
61.025626;0.982617;
61.196909;0.981437;
61.368672;0.980258;
61.540918;0.979082;
61.713647;0.977907;
61.886861;0.976735;
62.060561;0.975566;
62.234748;0.974398;
62.409424;0.973233;
62.584591;0.972070;
62.760249;0.970910;
62.936401;0.969752;
63.113047;0.968596;
63.290188;0.967443;
63.467827;0.966293;
63.645964;0.965145;
63.824602;0.964000;
64.003740;0.962857;
64.183382;0.961717;
64.363527;0.960580;
64.544179;0.959446;
64.725337;0.958314;
64.907004;0.957185;
65.089181;0.956059;
65.271869;0.954937;
65.455069;0.953817;
65.638784;0.952700;
65.823015;0.951586;
66.007763;0.950475;
66.193029;0.949368;
66.378815;0.948264;
66.565123;0.947163;
66.751954;0.946065;
66.939309;0.944970;
67.127189;0.943879;
67.315598;0.942792;
67.504535;0.941707;
67.694002;0.940627;
67.884001;0.939550;
68.074533;0.938476;
68.265601;0.937406;
68.457204;0.936340;
68.649345;0.935278;
68.842026;0.934219;
69.035247;0.933165;
69.229010;0.932114;
69.423318;0.931067;
69.618171;0.930024;
69.813570;0.928985;
70.009519;0.927950;
70.206017;0.926920;
70.403066;0.925893;
70.600669;0.924871;
70.798826;0.923853;
70.997540;0.922840;
71.196811;0.921831;
71.396642;0.920826;
71.597033;0.919826;
71.797987;0.918831;
71.999505;0.917840;
72.201588;0.916853;
72.404239;0.915872;
72.607458;0.914895;
72.811248;0.913923;
73.015610;0.912956;
73.220545;0.911994;
73.426056;0.911037;
73.632143;0.910085;
73.838809;0.909138;
74.046055;0.908196;
74.253883;0.907259;
74.462294;0.906328;
74.671290;0.905402;
74.880872;0.904482;
75.091043;0.903566;
75.301803;0.902657;
75.513156;0.901753;
75.725101;0.900854;
75.937641;0.899962;
76.150778;0.899074;
76.364513;0.898193;
76.578848;0.897318;
76.793784;0.896448;
77.009324;0.895585;
77.225469;0.894727;
77.442220;0.893876;
77.659580;0.893031;
77.877550;0.892191;
78.096131;0.891359;
78.315326;0.890532;
78.535137;0.889712;
78.755564;0.888898;
78.976610;0.888091;
79.198276;0.887290;
79.420565;0.886496;
79.643477;0.885709;
79.867015;0.884928;
80.091181;0.884154;
80.315976;0.883387;
80.541401;0.882627;
80.767459;0.881874;
80.994152;0.881128;
81.221481;0.880389;
81.449448;0.879657;
81.678055;0.878932;
81.907304;0.878215;
82.137196;0.877504;
82.367733;0.876802;
