Strike;IV;
30.230815;1.079889;
30.315665;1.079054;
30.400753;1.078220;
30.486080;1.077385;
30.571646;1.076549;
30.657453;1.075713;
30.743500;1.074876;
30.829789;1.074039;
30.916320;1.073202;
31.003094;1.072364;
31.090111;1.071525;
31.177373;1.070686;
31.264879;1.069847;
31.352632;1.069007;
31.440630;1.068167;
31.528876;1.067326;
31.617369;1.066484;
31.706110;1.065643;
31.795101;1.064800;
31.884341;1.063957;
31.973832;1.063114;
32.063574;1.062270;
32.153568;1.061426;
32.243815;1.060581;
32.334315;1.059736;
32.425068;1.058891;
32.516077;1.058044;
32.607341;1.057198;
32.698861;1.056351;
32.790638;1.055503;
32.882673;1.054655;
32.974966;1.053806;
33.067518;1.052957;
33.160329;1.052108;
33.253402;1.051258;
33.346735;1.050407;
33.440330;1.049556;
33.534189;1.048705;
33.628310;1.047853;
33.722696;1.047000;
33.817346;1.046147;
33.912263;1.045294;
34.007446;1.044440;
34.102895;1.043586;
34.198613;1.042731;
34.294600;1.041875;
34.390855;1.041020;
34.487381;1.040163;
34.584178;1.039307;
34.681247;1.038449;
34.778588;1.037591;
34.876202;1.036733;
34.974090;1.035874;
35.072253;1.035015;
35.170692;1.034155;
35.269407;1.033295;
35.368399;1.032435;
35.467668;1.031573;
35.567217;1.030712;
35.667044;1.029850;
35.767152;1.028987;
35.867541;1.028124;
35.968212;1.027260;
36.069165;1.026396;
36.170402;1.025531;
36.271922;1.024666;
36.373728;1.023801;
36.475819;1.022935;
36.578197;1.022068;
36.680863;1.021201;
36.783816;1.020334;
36.887058;1.019466;
36.990591;1.018597;
37.094413;1.017728;
37.198527;1.016859;
37.302934;1.015989;
37.407633;1.015119;
37.512627;1.014248;
37.617915;1.013376;
37.723498;1.012504;
37.829378;1.011632;
37.935555;1.010759;
38.042030;1.009886;
38.148804;1.009012;
38.255877;1.008138;
38.363251;1.007263;
38.470927;1.006388;
38.578905;1.005512;
38.687185;1.004636;
38.795770;1.003759;
38.904659;1.002882;
39.013854;1.002004;
39.123356;1.001126;
39.233165;1.000247;
39.343282;0.999368;
39.453708;0.998489;
39.564444;0.997609;
39.675491;0.996728;
39.786850;0.995847;
39.898521;0.994965;
40.010505;0.994083;
40.122804;0.993201;
40.235418;0.992318;
40.348348;0.991435;
40.461595;0.990551;
40.575160;0.989666;
40.689044;0.988781;
40.803247;0.987896;
40.917771;0.987010;
41.032616;0.986124;
41.147784;0.985237;
41.263275;0.984350;
41.379090;0.983462;
41.495230;0.982574;
41.611696;0.981685;
41.728489;0.980796;
41.845610;0.979907;
41.963060;0.979017;
42.080839;0.978126;
42.198948;0.977235;
42.317390;0.976343;
42.436163;0.975451;
42.555270;0.974559;
42.674712;0.973666;
42.794488;0.972773;
42.914601;0.971879;
43.035051;0.970985;
43.155839;0.970090;
43.276966;0.969195;
43.398433;0.968299;
43.520241;0.967403;
43.642390;0.966506;
43.764883;0.965609;
43.887719;0.964712;
44.010901;0.963814;
44.134428;0.962915;
44.258301;0.962016;
44.382522;0.961117;
44.507092;0.960217;
44.632012;0.959317;
44.757282;0.958416;
44.882904;0.957515;
45.008878;0.956613;
45.135206;0.955711;
45.261889;0.954809;
45.388927;0.953906;
45.516322;0.953002;
45.644074;0.952098;
45.772185;0.951194;
45.900655;0.950289;
46.029486;0.949384;
46.158678;0.948478;
46.288234;0.947572;
46.418152;0.946666;
46.548436;0.945759;
46.679085;0.944851;
46.810101;0.943943;
46.941484;0.943035;
47.073236;0.942126;
47.205359;0.941217;
47.337851;0.940308;
47.470716;0.939398;
47.603954;0.938487;
47.737566;0.937576;
47.871552;0.936665;
48.005915;0.935753;
48.140655;0.934841;
48.275773;0.933929;
48.411270;0.933016;
48.547148;0.932102;
48.683407;0.931189;
48.820048;0.930274;
48.957073;0.929360;
49.094482;0.928445;
49.232278;0.927529;
49.370459;0.926614;
49.509029;0.925697;
49.647988;0.924781;
49.787337;0.923864;
49.927076;0.922946;
50.067209;0.922028;
50.207734;0.921110;
50.348654;0.920192;
50.489969;0.919272;
50.631681;0.918353;
50.773791;0.917433;
50.916299;0.916513;
51.059208;0.915593;
51.202517;0.914672;
51.346229;0.913750;
51.490344;0.912829;
51.634864;0.911907;
51.779789;0.910984;
51.925121;0.910061;
52.070862;0.909138;
52.217011;0.908215;
52.363570;0.907291;
52.510540;0.906367;
52.657924;0.905442;
52.805720;0.904517;
52.953932;0.903592;
53.102560;0.902666;
53.251604;0.901740;
53.401068;0.900814;
53.550950;0.899887;
53.701253;0.898960;
53.851979;0.898033;
54.003127;0.897105;
54.154699;0.896177;
54.306697;0.895249;
54.459122;0.894320;
54.611974;0.893391;
54.765255;0.892462;
54.918967;0.891532;
55.073110;0.890602;
55.227685;0.889672;
55.382695;0.888741;
55.538139;0.887810;
55.694020;0.886879;
55.850338;0.885948;
56.007095;0.885016;
56.164292;0.884084;
56.321931;0.883152;
56.480011;0.882219;
56.638536;0.881287;
56.797505;0.880354;
56.956921;0.879420;
57.116783;0.878487;
57.277095;0.877553;
57.437857;0.876619;
57.599070;0.875684;
57.760735;0.874749;
57.922854;0.873815;
58.085428;0.872879;
58.248458;0.871944;
58.411946;0.871009;
58.575893;0.870073;
58.740300;0.869137;
58.905168;0.868200;
59.070500;0.867264;
59.236295;0.866327;
59.402555;0.865390;
59.569282;0.864453;
59.736478;0.863516;
59.904142;0.862579;
60.072277;0.861641;
60.240884;0.860703;
60.409964;0.859765;
60.579519;0.858827;
60.749549;0.857889;
60.920057;0.856950;
61.091044;0.856012;
61.262510;0.855073;
61.434458;0.854134;
61.606888;0.853195;
61.779802;0.852256;
61.953202;0.851316;
62.127088;0.850377;
62.301462;0.849437;
62.476326;0.848498;
62.651680;0.847558;
62.827527;0.846618;
63.003867;0.845678;
63.180702;0.844738;
63.358033;0.843798;
63.535863;0.842858;
63.714191;0.841918;
63.893020;0.840977;
64.072350;0.840037;
64.252184;0.839097;
64.432523;0.838156;
64.613368;0.837216;
64.794721;0.836275;
64.976582;0.835335;
65.158954;0.834394;
65.341838;0.833454;
65.525235;0.832513;
65.709147;0.831573;
65.893575;0.830632;
66.078521;0.829692;
66.263986;0.828751;
66.449971;0.827811;
66.636479;0.826870;
66.823510;0.825930;
67.011066;0.824990;
67.199148;0.824050;
67.387758;0.823110;
67.576898;0.822170;
67.766568;0.821230;
67.956771;0.820290;
68.147507;0.819351;
68.338779;0.818411;
68.530588;0.817472;
68.722935;0.816533;
68.915822;0.815593;
69.109251;0.814655;
69.303222;0.813716;
69.497738;0.812777;
69.692799;0.811839;
69.888409;0.810901;
70.084567;0.809963;
70.281276;0.809025;
70.478536;0.808087;
70.676351;0.807150;
70.874721;0.806213;
71.073647;0.805276;
71.273132;0.804340;
71.473177;0.803404;
71.673783;0.802468;
71.874952;0.801532;
72.076686;0.800597;
72.278986;0.799662;
72.481854;0.798727;
72.685291;0.797793;
72.889300;0.796859;
73.093881;0.795925;
73.299036;0.794992;
73.504767;0.794059;
73.711075;0.793127;
73.917962;0.792195;
74.125431;0.791263;
74.333481;0.790332;
74.542115;0.789402;
74.751335;0.788471;
74.961142;0.787542;
75.171538;0.786612;
75.382525;0.785684;
75.594104;0.784756;
75.806276;0.783828;
76.019044;0.782901;
76.232409;0.781974;
76.446374;0.781048;
76.660938;0.780123;
76.876105;0.779198;
77.091876;0.778274;
77.308252;0.777351;
77.525236;0.776428;
77.742829;0.775506;
77.961032;0.774584;
78.179848;0.773663;
78.399278;0.772743;
78.619324;0.771824;
78.839988;0.770905;
79.061271;0.769987;
79.283175;0.769070;
79.505701;0.768154;
79.728853;0.767238;
79.952631;0.766323;
80.177036;0.765409;
80.402072;0.764496;
80.627739;0.763584;
80.854040;0.762673;
81.080976;0.761763;
81.308548;0.760853;
81.536760;0.759945;
81.765612;0.759037;
81.995106;0.758130;
82.225245;0.757225;
82.456029;0.756320;
82.687461;0.755417;
82.919543;0.754514;
83.152276;0.753613;
83.385663;0.752713;
83.619704;0.751813;
83.854402;0.750915;
84.089759;0.750018;
84.325777;0.749123;
84.562457;0.748228;
84.799801;0.747335;
85.037812;0.746443;
85.276490;0.745552;
85.515839;0.744662;
85.755859;0.743774;
85.996553;0.742887;
86.237922;0.742001;
86.479969;0.741117;
86.722696;0.740234;
86.966103;0.739352;
87.210194;0.738472;
87.454970;0.737594;
87.700433;0.736716;
87.946585;0.735841;
88.193427;0.734967;
88.440963;0.734094;
88.689193;0.733223;
88.938120;0.732353;
89.187746;0.731486;
89.438072;0.730619;
89.689101;0.729755;
89.940834;0.728892;
90.193274;0.728031;
90.446423;0.727171;
90.700282;0.726314;
90.954854;0.725458;
91.210140;0.724604;
91.466142;0.723752;
91.722864;0.722901;
91.980305;0.722053;
92.238470;0.721206;
92.497358;0.720362;
92.756974;0.719519;
93.017318;0.718679;
93.278393;0.717840;
93.540201;0.717003;
93.802743;0.716169;
94.066023;0.715337;
94.330041;0.714507;
94.594800;0.713679;
94.860303;0.712853;
95.126550;0.712029;
95.393545;0.711208;
95.661290;0.710389;
95.929786;0.709572;
96.199035;0.708758;
96.469040;0.707946;
96.739803;0.707136;
97.011326;0.706329;
97.283611;0.705524;
97.556660;0.704722;
97.830476;0.703923;
98.105060;0.703125;
98.380415;0.702331;
98.656543;0.701539;
98.933445;0.700750;
99.211125;0.699963;
99.489584;0.699180;
99.768825;0.698399;
100.048850;0.697620;
100.329660;0.696845;
100.611259;0.696072;
100.893648;0.695303;
101.176830;0.694536;
101.460806;0.693772;
101.745580;0.693011;
102.031153;0.692253;
102.317527;0.691499;
102.604705;0.690747;
102.892689;0.689998;
103.181482;0.689253;
103.471085;0.688511;
103.761501;0.687772;
104.052732;0.687036;
104.344780;0.686304;
104.637648;0.685575;
104.931338;0.684849;
105.225852;0.684127;
105.521193;0.683408;
105.817363;0.682692;
106.114365;0.681980;
106.412199;0.681272;
106.710870;0.680567;
107.010379;0.679866;
107.310729;0.679169;
107.611922;0.678475;
107.913960;0.677785;
108.216846;0.677099;
108.520582;0.676416;
108.825170;0.675737;
109.130613;0.675063;
109.436914;0.674392;
109.744074;0.673725;
110.052097;0.673062;
110.360984;0.672403;
110.670738;0.671748;
110.981361;0.671097;
111.292856;0.670451;
111.605226;0.669808;
111.918472;0.669170;
112.232597;0.668536;
112.547604;0.667906;
112.863496;0.667281;
113.180274;0.666660;
113.497941;0.666043;
113.816499;0.665431;
114.135952;0.664823;
114.456301;0.664219;
114.777549;0.663621;
115.099700;0.663026;
115.422754;0.662437;
115.746715;0.661852;
116.071585;0.661272;
116.397367;0.660696;
